Time Range,Vessel ID,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Vessel Presence Hours
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",4ef567835-5287-12c8-132a-18d98adc1cc4,VUT,HOKUETSU USHAKA,2024-09-09T23:00:00Z,2024-09-10T23:00:00Z,CARGO,CARGO,576327000,9355537,YJVH3,2012-01-04T11:48:05Z,2024-10-07T23:59:05Z,25.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",3e352924e-e96a-6bbd-a139-fe0a7260556a,JPN,GLORIOUS ROSE,2024-07-10T04:00:00Z,2024-07-12T06:00:00Z,SET_LONGLINES,FISHING,431864000,9942017,7KNW,2022-11-07T01:09:03Z,2024-10-07T23:59:18Z,51.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",4b36a9600-0744-f83b-6c78-f10956f09fae,CHL,DANSTAR,2024-07-07T00:00:00Z,2024-09-17T11:00:00Z,OTHER,OTHER,725001123,7424059,CA4392,2013-04-11T22:51:36Z,2024-10-07T23:56:07Z,758.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",6165554cd-d9fe-90d7-4288-6bfa630eceb5,SGP,FL DATE,2024-09-01T21:00:00Z,2024-09-03T03:00:00Z,CARGO,CARGO,563191600,9959993,9V8033,2023-05-05T01:30:42Z,2024-10-07T23:25:12Z,31.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",66d7c9c33-3a49-a831-e5c6-f82f01e9546a,BHS,AMERICA PEARL,2024-09-07T20:00:00Z,2024-09-09T21:00:00Z,CARGO,CARGO,311001374,9659751,C6GW5,2023-08-22T05:59:58Z,2024-10-07T23:57:58Z,50.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",f7f4c6e9c-c25b-6940-9fd8-78c3f98510fe,CYM,CAJUN SUN,2024-08-28T14:00:00Z,2024-08-30T09:00:00Z,OTHER,OTHER,319103100,9724025,ZGFY4,2016-07-28T00:24:50Z,2024-10-07T23:59:37Z,44.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",7c73b0f41-1f3b-61f8-d340-e6663a43a2f5,CHL,OPV TORO,2024-08-10T08:00:00Z,2024-08-18T01:00:00Z,OTHER,OTHER,725000737,,CCTR,2023-06-27T20:17:18Z,2024-09-06T20:38:18Z,95.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",7fa09d9f0-0cdd-3011-6c76-8df6d7952f13,GBR,FIREBIRD,2024-08-13T22:00:00Z,2024-08-15T02:00:00Z,PASSENGER,PASSENGER,235114751,,2JCL2,2016-02-22T07:59:03Z,2024-10-07T23:20:41Z,29.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",e01959d8a-a5a2-ffd4-ece5-95384032b987,LBR,HUMBOLDT EXPRESS,2024-08-05T15:00:00Z,2024-08-06T00:00:00Z,CARGO,CARGO,636093271,9938444,5LPH8,2024-02-01T09:32:11Z,2024-10-07T23:57:52Z,10.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",c7ae347bd-d23d-1394-3547-156592a8cb72,HKG,SEASPAN BELIEF,2024-08-20T04:00:00Z,2024-08-21T12:00:00Z,CARGO,CARGO,477548300,9713351,VROD3,2015-05-20T00:20:05Z,2024-10-07T23:58:06Z,33.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",742741da9-9f1e-4350-a8d7-a6b88a36d91b,VUT,HK CHALLENGER,2024-07-12T10:00:00Z,2024-07-14T02:00:00Z,CARGO,CARGO,577364000,9553127,YJWD8,2017-02-28T03:29:16Z,2024-10-07T23:58:20Z,41.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",2cb6f15f5-58d4-d48b-625c-d25303d15fbf,MHL,CETUS BELUGA,2024-07-18T21:00:00Z,2024-07-19T16:00:00Z,CARGO,CARGO,538010820,9670743,V7A7469,2023-10-12T10:45:37Z,2024-10-07T23:59:36Z,20.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",7748d2d1f-f566-e383-5621-9392fa600023,MHL,NAVIOS DEVOTION,2024-07-27T09:00:00Z,2024-07-28T18:00:00Z,CARGO,CARGO,538003407,9352420,V7QO2,2012-01-01T00:02:59Z,2024-10-07T23:59:19Z,34.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",2d3f51b3c-ce3e-8763-4e2e-1900bec2f592,DEU,BUENOS AIRES EXPRESS,2024-08-13T23:00:00Z,2024-08-15T02:00:00Z,CARGO,CARGO,211887410,9932476,DIXP2,2023-03-15T02:00:03Z,2024-10-07T23:58:07Z,28.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",635664025-510e-478d-59d9-bacb18f04f23,DNK,CLIFFORD MAERSK,2024-09-09T16:00:00Z,2024-09-10T06:00:00Z,CARGO,CARGO,219840000,9198575,OYRO2,2012-01-02T18:45:32Z,2024-10-07T23:52:58Z,15.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",538ea6e85-5df9-91dc-aff9-259426fae47f,CHL,CNS ALMTE CONDELL,2024-08-21T21:00:00Z,2024-08-26T06:00:00Z,OTHER,OTHER,725004490,,CCCD,2024-06-20T16:40:15Z,2024-10-07T23:59:49Z,106.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",82d71707b-b170-962c-4d3a-13e32d40ee8c,PAN,WEST TREASURE,2024-08-15T13:00:00Z,2024-08-17T08:00:00Z,CARGO,CARGO,371290000,9691620,H3TL,2014-05-28T01:01:09Z,2024-10-07T23:56:07Z,44.00
